"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3113","Verify Valid Login","Google Chrome","2026-01-30","passed","2026-01-30","","LoginPage.spec.ts","",""
"","2701","Verfiy Invalid Login","Google Chrome","2026-01-30","failed","2026-01-30","","LoginPage.spec.ts","",""
